U/M,YearMonth,Year,Month,Qty,Sales Price,Field,Fertilizer
gal,2022-03,2022,3,11.25,10.55,DAF,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,12,14.53,RCH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,12,16.53,RCH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,12,17.94,MAZZ-50,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,12,17.94,SP50,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,12.5,98.08,KF,SILICA-BLUE GOLD (SILICA-BLUE GOLD)
gal,2022-03,2022,3,13.5,10.55,REYES,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,15,14.53,505 SOUTH,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,14.53,C & H 2,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,14.53,DAF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,15,16.53,505 SOUTH,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15,16.53,C & H 2,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15,16.53,DAF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,15.75,10.55,JK,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,16.5,17.94,BYRD,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,16.5,17.94,TOP,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,17.5,16.53,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,18,10.55,MAZZ-50,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,18,10.55,SP50,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,18,14.53,REYES,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,18,16.53,REYES,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,19.5,17.94,BRS-250,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,19.5,17.94,BRU-2A,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,21,14.53,JK,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,21,16.53,JK,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,22.5,17.94,C & H 3,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,22.5,17.94,GOLF,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,24,14.53,MAZZ-50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,24,14.53,SP50,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,24,16.53,MAZZ-50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,24,16.53,SP50,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,24,17.94,DNW,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,24.75,10.55,BYRD,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,24.75,10.55,TOP,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,25,12.5,MAZZ-50,FUSION KEEL (FUSION KEEL)
gal,2022-03,2022,3,29.25,10.55,BRS-250,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,29.25,10.55,BRU-2A,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,31.25,25.5,KF,CopBorMoly (INTEGRITY Z 5-0-0)
gal,2022-03,2022,3,31.25,29.5,KF,SENIPHOS 3-23-0 (SENIPHOS 3-23-0)
gal,2022-03,2022,3,32.5,12.5,TOP,FUSION KEEL (FUSION KEEL)
gal,2022-03,2022,3,33,14.53,BYRD,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,33,14.53,TOP,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,33,16.53,BYRD,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,33,16.53,TOP,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,33,17.94,BI-1,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,33.75,10.55,C & H 3,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,33.75,10.55,GOLF,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,34.5,17.94,ZUM,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,35,11.64,JK,VIRTUS FOLIAR 2-0-1 (VIRTUS FOLIAR 2-0-1)
gal,2022-03,2022,3,36,10.55,DNW,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,39,14.53,BRS-250,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,39,14.53,BRU-2A,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,39,16.53,BRS-250,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,39,16.53,BRU-2A,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,42.5,12.5,KF,FUSION KEEL (FUSION KEEL)
gal,2022-03,2022,3,45,14.53,C & H 3,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,45,14.53,GOLF,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,45,16.53,C & H 3,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,45,16.53,GOLF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,48,14.53,DNW,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,48,16.53,DNW,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,49.5,10.55,BI-1,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,50,6.8,MAZZ-50,PACIFIC OCEANIC crab hydroslate (PACIFIC GRO OCEANIC HYDROLYSATE 2...
gal,2022-03,2022,3,51.75,10.55,ZUM,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,58,6.16,MAZZ-HOME,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,62.5,11.94,KF,VIRTUS FOLIAR 2-0-1 (VIRTUS FOLIAR 2-0-1)
gal,2022-03,2022,3,62.5,16.53,KF,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,64,6.16,WFP - DAWLEY,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,65,6.8,TOP,PACIFIC OCEANIC crab hydroslate (PACIFIC GRO OCEANIC HYDROLYSATE 2...
gal,2022-03,2022,3,66,14.53,BI-1,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,66,16.53,BI-1,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,69,14.53,ZUM,VIGOR-CAL-BOR-MOLY (VIGOR-CAL-BOR-MOLY)
gal,2022-03,2022,3,69,16.53,ZUM,TEP PROVEN 0-0-5 (TEP PROVEN 0-0-5)
gal,2022-03,2022,3,70,6.16,GJ,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,80,6.16,DAF 2,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,85,6.8,KF,PACIFIC OCEANIC crab hydroslate (PACIFIC GRO OCEANIC HYDROLYSATE 2...
gal,2022-03,2022,3,88,17.94,FI,AAC 1-0-0 AMINO ACID CHELATE (AAC 1-0-0 AMINO ACID CHELATE)
gal,2022-03,2022,3,90,6.16,RCH,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,95,10.56,FI,TOPHAT 9-0-0 (TOPHAT 9-0-0)
gal,2022-03,2022,3,100,6.16,MAZZ-50,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,120,6.16,TOP,FUSION 360 SOIL (FUSION 360 SOIL)
